"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder)";"Landbouw/Graasdieren/Rundvee (aantal)";"Landbouw/Graasdieren/Schapen (aantal)";"Lokalisering/Gemeenten (aantal)";"Lokalisering/Wijken (aantal)";"Lokalisering/Buurten (aantal)"
"2008";"Aa en Hunze";25598;12668;12930;21132;26,7;59,5;5,8;7,9;13495;4117;;21;54
"2009";"Aa en Hunze";25675;12763;12912;21248;26,9;59,3;6;7,8;13805;3287;;21;54
"2010";"Aa en Hunze";25563;12685;12878;21151;26,1;59;7;8;14329;3845;;21;54
"2011";"Aa en Hunze";25785;12840;12945;21464;27,1;57,9;7,2;7,9;13867;3426;;21;54
"2012";"Aa en Hunze";25738;12834;12904;21533;27,5;57,4;7,3;7,8;13969;3951;;21;54
"2013";"Aa en Hunze";25541;12686;12855;21468;27,6;57,1;7,6;7,8;14405;3529;;21;54
"2014";"Aa en Hunze";25357;12601;12756;21424;27,6;56,8;7,8;7,8;14678;3149;;21;54
"2015";"Aa en Hunze";25203;12545;12658;21429;28,2;56,1;8;7,7;15804;3411;;21;54
"2016";"Aa en Hunze";25243;12577;12666;21552;28,6;55,6;8,2;7,6;16040;2734;;21;54
"2017";"Aa en Hunze";25286;12603;12683;21714;29,4;54,8;8,3;7,6;15553;2219;;21;54
"2008";"Aalburg";12386;6214;6172;9677;28;62,2;3,7;6,1;7673;4714;;7;15
"2009";"Aalburg";12556;6311;6245;9832;28;62,2;3,7;6,1;7759;4087;;7;15
"2010";"Aalburg";12614;6312;6302;9942;28;61,8;4;6,2;8266;4283;;7;15
"2011";"Aalburg";12685;6373;6312;10008;28,1;61,5;4,3;6,2;7939;4241;;7;15
"2012";"Aalburg";12749;6441;6308;10077;28,4;61,5;4,2;5,9;8965;4390;;7;15
"2013";"Aalburg";12774;6459;6315;10138;28,3;61,1;4,5;6,1;8654;4253;;7;15
"2014";"Aalburg";12846;6490;6356;10260;28,7;60,4;4,9;6;8725;4136;;7;15
"2015";"Aalburg";12922;6540;6382;10328;28,6;60,1;5,1;6,2;8427;3901;;7;15
"2016";"Aalburg";13038;6582;6456;10464;29,2;59,3;5,3;6,2;9405;3659;;7;15
"2017";"Aalburg";13067;6615;6452;10540;29,5;59,1;5,4;6;8597;3384;;7;15
"2008";"Aalsmeer";26386;13108;13278;21435;31,4;55,8;6,6;6,2;113;216;;3;16
"2009";"Aalsmeer";28006;13920;14086;22544;32,1;55,3;6,7;6;96;136;;3;16
"2010";"Aalsmeer";29187;14480;14707;23435;32,5;54,8;7;5,8;92;174;;3;16
"2011";"Aalsmeer";30189;14955;15234;24181;32,8;54,5;7;5,7;94;124;;3;16
"2012";"Aalsmeer";30364;15049;15315;24310;32,9;54;7,2;5,8;84;107;;3;9
"2013";"Aalsmeer";30618;15178;15440;24529;33,2;53,6;7,5;5,8;89;185;;3;9
"2014";"Aalsmeer";30759;15222;15537;24679;33,5;53;7,6;5,9;80;166;;3;9
"2015";"Aalsmeer";31077;15374;15703;24966;33,7;52,7;7,6;5,9;79;195;;3;9
"2016";"Aalsmeer";31299;15477;15822;25272;34,1;52,3;7,7;5,9;65;59;;3;9
"2017";"Aalsmeer";31373;15516;15857;25507;34,7;51,7;7,8;5,8;66;116;;3;9
"2008";"Aalten";27568;13807;13761;22463;31,1;56,9;4,3;7,7;17470;2857;;4;24
"2009";"Aalten";27447;13761;13686;22355;31,1;56,8;4,5;7,7;17541;2849;;4;24
"2010";"Aalten";27500;13767;13733;22434;31,3;56,2;4,8;7,7;17751;2750;;4;24
"2011";"Aalten";27439;13757;13682;22464;31,8;55,6;4,9;7,7;17200;2880;;4;24
"2012";"Aalten";27305;13686;13619;22371;32;55,2;5,1;7,7;16371;3051;;4;24
"2013";"Aalten";27082;13527;13555;22236;32,2;54,9;5,3;7,6;17094;2973;;4;29
"2014";"Aalten";27013;13504;13509;22264;32,4;54,3;5,7;7,6;18355;2948;;4;29
"2015";"Aalten";26904;13471;13433;22295;33;53,6;5,9;7,5;18321;3140;;4;29
"2016";"Aalten";26912;13482;13430;22398;33,4;52,9;6,1;7,5;18424;3323;;4;29
"2017";"Aalten";27047;13625;13422;22588;33,6;52,8;6,2;7,4;16393;2798;;4;29
"2008";"Ter Aar";;;;;;;;;;;;;
"2009";"Ter Aar";;;;;;;;;;;;;
"2010";"Ter Aar";;;;;;;;;;;;;
"2011";"Ter Aar";;;;;;;;;;;;;
"2012";"Ter Aar";;;;;;;;;;;;;
"2013";"Ter Aar";;;;;;;;;;;;;
"2014";"Ter Aar";;;;;;;;;;;;;
"2015";"Ter Aar";;;;;;;;;;;;;
"2016";"Ter Aar";;;;;;;;;;;;;
"2017";"Ter Aar";;;;;;;;;;;;;
"2008";"Aarle-Rixtel";;;;;;;;;;;;;
"2009";"Aarle-Rixtel";;;;;;;;;;;;;
"2010";"Aarle-Rixtel";;;;;;;;;;;;;
"2011";"Aarle-Rixtel";;;;;;;;;;;;;
"2012";"Aarle-Rixtel";;;;;;;;;;;;;
"2013";"Aarle-Rixtel";;;;;;;;;;;;;
"2014";"Aarle-Rixtel";;;;;;;;;;;;;
"2015";"Aarle-Rixtel";;;;;;;;;;;;;
"2016";"Aarle-Rixtel";;;;;;;;;;;;;
"2017";"Aarle-Rixtel";;;;;;;;;;;;;
"2008";"Abcoude";8688;4281;4407;6758;29,2;58,5;6,6;5,7;5607;5348;;1;7
"2009";"Abcoude";8680;4264;4416;6750;29,5;57,9;6,9;5,7;5514;4613;;1;7
"2010";"Abcoude";8764;4293;4471;6857;29,7;57,2;7,6;5,6;5517;3637;;1;7
"2011";"Abcoude";;;;;;;;;;;;;
"2012";"Abcoude";;;;;;;;;;;;;
"2013";"Abcoude";;;;;;;;;;;;;
"2014";"Abcoude";;;;;;;;;;;;;
"2015";"Abcoude";;;;;;;;;;;;;
"2016";"Abcoude";;;;;;;;;;;;;
"2017";"Abcoude";;;;;;;;;;;;;
"2008";"Achtkarspelen";28088;14235;13853;22635;31,4;56,6;5,2;6,8;16018;13631;;3;24
"2009";"Achtkarspelen";28139;14292;13847;22682;31,6;56,2;5,4;6,8;16486;11786;;3;24
"2010";"Achtkarspelen";28088;14265;13823;22611;30,8;55,9;6,3;7;16530;11134;;3;24
"2011";"Achtkarspelen";28123;14270;13853;22655;31,2;55,4;6,4;7;15993;10284;;3;24
"2012";"Achtkarspelen";28091;14263;13828;22672;31,6;54,9;6,5;7;13655;11396;;3;24
"2013";"Achtkarspelen";28110;14281;13829;22700;31,6;54,6;6,7;7;14160;11133;;3;24
"2014";"Achtkarspelen";28016;14255;13761;22666;31,8;54,3;6,9;7,1;14089;9825;;3;24
"2015";"Achtkarspelen";27983;14218;13765;22709;32;53,7;7,2;7,1;14772;10499;;3;24
"2016";"Achtkarspelen";28007;14239;13768;22783;32,4;53,2;7,5;6,9;15499;9482;;3;24
"2017";"Achtkarspelen";27893;14185;13708;22781;32,7;52,5;7,7;7;14656;8735;;3;24
"2008";"Akersloot";;;;;;;;;;;;;
"2009";"Akersloot";;;;;;;;;;;;;
"2010";"Akersloot";;;;;;;;;;;;;
"2011";"Akersloot";;;;;;;;;;;;;
"2012";"Akersloot";;;;;;;;;;;;;
"2013";"Akersloot";;;;;;;;;;;;;
"2014";"Akersloot";;;;;;;;;;;;;
"2015";"Akersloot";;;;;;;;;;;;;
"2016";"Akersloot";;;;;;;;;;;;;
"2017";"Akersloot";;;;;;;;;;;;;
"2008";"Alblasserdam";18718;9118;9600;14831;26;60,2;5,7;8,2;182;358;;1;7
"2009";"Alblasserdam";18839;9222;9617;14947;26,4;60,1;5,5;8;177;368;;1;7
"2010";"Alblasserdam";19014;9291;9723;15116;26,3;59,8;6,2;7,8;188;151;;4;7
"2011";"Alblasserdam";19208;9394;9814;15271;26,6;59,2;6,4;7,8;130;65;;4;7
"2012";"Alblasserdam";19467;9496;9971;15482;26,9;59;6,5;7,6;229;82;;4;7
