json_featuretype,gemeente,Aantal incidenten,Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),json_ogc_wkt_crs,IncidentenPerbewoner
AantalIncidentenMetBevolking_2008,'s-Hertogenbosch,421,2008,'s-Hertogenbosch,136481,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",3.084678453411098
AantalIncidentenMetBevolking_2008,Aa en Hunze,224,2008,Aa en Hunze,25598,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",8.750683647159935
AantalIncidentenMetBevolking_2008,Aalburg,56,2008,Aalburg,12386,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",4.521233650896173
AantalIncidentenMetBevolking_2008,Aalsmeer,136,2008,Aalsmeer,26386,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",5.154248465095127
AantalIncidentenMetBevolking_2008,Aalten,151,2008,Aalten,27568,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",5.477365060940221
AantalIncidentenMetBevolking_2008,Achtkarspelen,156,2008,Achtkarspelen,28088,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",5.553973227000855
AantalIncidentenMetBevolking_2008,Alblasserdam,148,2008,Alblasserdam,18718,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",7.90682765252698
AantalIncidentenMetBevolking_2008,Albrandswaard,29,2008,Albrandswaard,22453,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",1.2915868703514006
AantalIncidentenMetBevolking_2008,Alkmaar,616,2008,Alkmaar,93876,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",6.561847543568111
AantalIncidentenMetBevolking_2008,Almelo,767,2008,Almelo,72287,"PROJCS[""Netherlands, Amersfoort RD 2008 datum, New System"",GEOGCS[""Amersfoort"",DATUM[""Amersfoort"",SPHEROID[""Bessel, 1841"",6377397.155,299.1528153513275,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6289""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4289""]],PROJECTION[""Stereographic""],PARAMETER[""latitude_of_origin"",52.15616055555556],PARAMETER[""central_meridian"",5.387638888888889],PARAMETER[""scale_factor"",0.9999079],PARAMETER[""false_easting"",155000],PARAMETER[""false_northing"",463000],UNIT[""METER"",1]]",10.610483212749179
