code,name,regioFacet,level,url
1680,Aa en Hunze,tcm:106-353398-1024,4,/regioinformatie/gemeente/aa-en-hunze/
0106,Assen,tcm:106-353399-1024,4,/regioinformatie/gemeente/assen/
1681,Borger-Odoorn,tcm:106-353400-1024,4,/regioinformatie/gemeente/borger-odoorn/
0109,Coevorden,tcm:106-353401-1024,4,/regioinformatie/gemeente/coevorden/
1690,De Wolden,tcm:106-353402-1024,4,/regioinformatie/gemeente/de-wolden/
0114,Emmen,tcm:106-353403-1024,4,/regioinformatie/gemeente/emmen/
0118,Hoogeveen,tcm:106-353404-1024,4,/regioinformatie/gemeente/hoogeveen/
0119,Meppel,tcm:106-353405-1024,4,/regioinformatie/gemeente/meppel/
1731,Midden-Drenthe,tcm:106-353406-1024,4,/regioinformatie/gemeente/midden-drenthe/
1699,Noordenveld,tcm:106-353407-1024,4,/regioinformatie/gemeente/noordenveld/
1730,Tynaarlo,tcm:106-353408-1024,4,/regioinformatie/gemeente/tynaarlo/
1701,Westerveld,tcm:106-353409-1024,4,/regioinformatie/gemeente/westerveld/
0034,Almere,tcm:106-353411-1024,4,/regioinformatie/gemeente/almere/
0303,Dronten,tcm:106-353412-1024,4,/regioinformatie/gemeente/dronten/
0995,Lelystad,tcm:106-353413-1024,4,/regioinformatie/gemeente/lelystad/
0171,Noordoostpolder,tcm:106-353414-1024,4,/regioinformatie/gemeente/noordoostpolder/
0184,Urk,tcm:106-353415-1024,4,/regioinformatie/gemeente/urk/
0050,Zeewolde,tcm:106-353416-1024,4,/regioinformatie/gemeente/zeewolde/
0059,Achtkarspelen,tcm:106-353418-1024,4,/regioinformatie/gemeente/achtkarspelen/
0060,Ameland,tcm:106-353419-1024,4,/regioinformatie/gemeente/ameland/
1891,Dantumadeel (Dantumadiel),tcm:106-353421-1024,4,/regioinformatie/gemeente/dantumadiel/
1921,De Friese Meren,tcm:106-401747-1024,4,/regioinformatie/gemeente/de-friese-meren/
0058,Dongeradeel,tcm:106-353422-1024,4,/regioinformatie/gemeente/dongeradeel/
1722,Ferwerderadeel (Ferwerderadiel),tcm:106-353423-1024,4,/regioinformatie/gemeente/ferwerderadiel/
0070,Franekeradeel,tcm:106-353424-1024,4,/regioinformatie/gemeente/franekeradeel/
0072,Harlingen,tcm:106-353426-1024,4,/regioinformatie/gemeente/harlingen/
0074,Heerenveen,tcm:106-353427-1024,4,/regioinformatie/gemeente/heerenveen/
0063,het Bildt,tcm:106-353428-1024,4,/regioinformatie/gemeente/het-bildt/
0079,Kollumerland en Nieuwkruisland,tcm:106-353429-1024,4,/regioinformatie/gemeente/kollumerland-ca/
0080,Leeuwarden,tcm:106-353430-1024,4,/regioinformatie/gemeente/leeuwarden/
0081,Leeuwarderadeel,tcm:106-353431-1024,4,/regioinformatie/gemeente/leeuwarderadeel/
0140,Littenseradeel (Littenseradiel),tcm:106-353433-1024,4,/regioinformatie/gemeente/littenseradiel/
1908,Menaldumadeel (Menaldumadiel),tcm:106-353434-1024,4,/regioinformatie/gemeente/menameradiel/
0085,Ooststellingwerf,tcm:106-353435-1024,4,/regioinformatie/gemeente/ooststellingwerf/
0086,Opsterland,tcm:106-353436-1024,4,/regioinformatie/gemeente/opsterland/
0088,Schiermonnikoog,tcm:106-353438-1024,4,/regioinformatie/gemeente/schiermonnikoog/
0090,Smallingerland,tcm:106-353439-1024,4,/regioinformatie/gemeente/smallingerland/
1900,Súdwest-Fryslân,tcm:106-353440-1024,4,/regioinformatie/gemeente/sudwest-fryslan/
0093,Terschelling,tcm:106-353441-1024,4,/regioinformatie/gemeente/terschelling/
0737,Tietjerksteradeel (Tytsjerksteradiel),tcm:106-353442-1024,4,/regioinformatie/gemeente/tytsjerksteradiel/
0096,Vlieland,tcm:106-353443-1024,4,/regioinformatie/gemeente/vlieland/
0098,Weststellingwerf,tcm:106-353444-1024,4,/regioinformatie/gemeente/weststellingwerf/
0197,Aalten,tcm:106-353446-1024,4,/regioinformatie/gemeente/aalten/
0200,Apeldoorn,tcm:106-353447-1024,4,/regioinformatie/gemeente/apeldoorn/
0202,Arnhem,tcm:106-353448-1024,4,/regioinformatie/gemeente/arnhem/
0203,Barneveld,tcm:106-353449-1024,4,/regioinformatie/gemeente/barneveld/
1859,Berkelland,tcm:106-353450-1024,4,/regioinformatie/gemeente/berkelland/
0209,Beuningen,tcm:106-353451-1024,4,/regioinformatie/gemeente/beuningen/
1876,Bronckhorst,tcm:106-353452-1024,4,/regioinformatie/gemeente/bronckhorst/
0213,Brummen,tcm:106-353453-1024,4,/regioinformatie/gemeente/brummen/
0214,Buren,tcm:106-353454-1024,4,/regioinformatie/gemeente/buren/
0216,Culemborg,tcm:106-353455-1024,4,/regioinformatie/gemeente/culemborg/
0221,Doesburg,tcm:106-353456-1024,4,/regioinformatie/gemeente/doesburg/
0222,Doetinchem,tcm:106-353457-1024,4,/regioinformatie/gemeente/doetinchem/
0225,Druten,tcm:106-353458-1024,4,/regioinformatie/gemeente/druten/
0226,Duiven,tcm:106-353459-1024,4,/regioinformatie/gemeente/duiven/
0228,Ede,tcm:106-353460-1024,4,/regioinformatie/gemeente/ede/
0230,Elburg,tcm:106-353461-1024,4,/regioinformatie/gemeente/elburg/
0232,Epe,tcm:106-353462-1024,4,/regioinformatie/gemeente/epe/
0233,Ermelo,tcm:106-353463-1024,4,/regioinformatie/gemeente/ermelo/
0236,Geldermalsen,tcm:106-353464-1024,4,/regioinformatie/gemeente/geldermalsen/
0241,Groesbeek,tcm:106-353465-1024,4,/regioinformatie/gemeente/groesbeek/
0243,Harderwijk,tcm:106-353466-1024,4,/regioinformatie/gemeente/harderwijk/
0244,Hattem,tcm:106-353467-1024,4,/regioinformatie/gemeente/hattem/
0246,Heerde,tcm:106-353468-1024,4,/regioinformatie/gemeente/heerde/
0252,Heumen,tcm:106-353469-1024,4,/regioinformatie/gemeente/heumen/
0733,Lingewaal,tcm:106-353470-1024,4,/regioinformatie/gemeente/lingewaal/
1705,Lingewaard,tcm:106-353471-1024,4,/regioinformatie/gemeente/lingewaard/
0262,Lochem,tcm:106-353472-1024,4,/regioinformatie/gemeente/lochem/
0263,Maasdriel,tcm:106-353473-1024,4,/regioinformatie/gemeente/maasdriel/
1955,Montferland,tcm:106-353475-1024,4,/regioinformatie/gemeente/montferland/
1740,Neder-Betuwe,tcm:106-353476-1024,4,/regioinformatie/gemeente/neder-betuwe/
0304,Neerijnen,tcm:106-353477-1024,4,/regioinformatie/gemeente/neerijnen/
0267,Nijkerk,tcm:106-353478-1024,4,/regioinformatie/gemeente/nijkerk/
0268,Nijmegen,tcm:106-353479-1024,4,/regioinformatie/gemeente/nijmegen/
0302,Nunspeet,tcm:106-353480-1024,4,/regioinformatie/gemeente/nunspeet/
0269,Oldebroek,tcm:106-353481-1024,4,/regioinformatie/gemeente/oldebroek/
1586,Oost Gelre,tcm:106-353482-1024,4,/regioinformatie/gemeente/oost-gelre/
1509,Oude IJsselstreek,tcm:106-353483-1024,4,/regioinformatie/gemeente/oude-ijsselstreek/
1734,Overbetuwe,tcm:106-353484-1024,4,/regioinformatie/gemeente/overbetuwe/
0273,Putten,tcm:106-353485-1024,4,/regioinformatie/gemeente/putten/
0274,Renkum,tcm:106-353486-1024,4,/regioinformatie/gemeente/renkum/
0275,Rheden,tcm:106-353487-1024,4,/regioinformatie/gemeente/rheden/
0196,Rijnwaarden,tcm:106-353488-1024,4,/regioinformatie/gemeente/rijnwaarden/
0277,Rozendaal,tcm:106-353489-1024,4,/regioinformatie/gemeente/rozendaal/
0279,Scherpenzeel,tcm:106-353490-1024,4,/regioinformatie/gemeente/scherpenzeel/
0281,Tiel,tcm:106-353491-1024,4,/regioinformatie/gemeente/tiel/
0285,Voorst,tcm:106-353493-1024,4,/regioinformatie/gemeente/voorst/
0289,Wageningen,tcm:106-353494-1024,4,/regioinformatie/gemeente/wageningen/
0668,West Maas en Waal,tcm:106-353495-1024,4,/regioinformatie/gemeente/west-maas-en-waal/
0293,Westervoort,tcm:106-353496-1024,4,/regioinformatie/gemeente/westervoort/
0296,Wijchen,tcm:106-353497-1024,4,/regioinformatie/gemeente/wijchen/
0294,Winterswijk,tcm:106-353498-1024,4,/regioinformatie/gemeente/winterswijk/
