Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2012,'s-Hertogenbosch,141893,69808,72085,,,,,,,,,,
2012,Aa en Hunze,25738,12834,12904,,,,,,,,,,
2012,Aalburg,12749,6441,6308,,,,,,,,,,
2012,Aalsmeer,30364,15049,15315,,,,,,,,,,
2012,Aalten,27305,13686,13619,,,,,,,,,,
2012,Achtkarspelen,28091,14263,13828,,,,,,,,,,
2012,Alblasserdam,19467,9496,9971,,,,,,,,,,
2012,Albrandswaard,25003,12388,12615,,,,,,,,,,
2012,Alkmaar,94269,46423,47846,,,,,,,,,,
2012,Almelo,72757,36089,36668,,,,,,,,,,
2012,Almere,193163,95874,97289,,,,,,,,,,
2012,Alphen aan den Rijn,72853,35958,36895,,,,,,,,,,
2012,Alphen-Chaam,9525,4825,4700,,,,,,,,,,
2012,Ameland,3526,1753,1773,,,,,,,,,,
2012,Amersfoort,148250,72849,75401,,,,,,,,,,
2012,Amstelveen,83363,39711,43652,,,,,,,,,,
2012,Amsterdam,790110,389005,401105,,,,,,,,,,
2012,Apeldoorn,156961,77525,79436,,,,,,,,,,
2012,Appingedam,12053,5822,6231,,,,,,,,,,
2012,Arnhem,149271,74067,75204,,,,,,,,,,
2012,Assen,67208,32931,34277,,,,,,,,,,
2012,Asten,16404,8409,7995,,,,,,,,,,
2012,Baarle-Nassau,6722,3424,3298,,,,,,,,,,
2012,Baarn,24352,11709,12643,,,,,,,,,,
2012,Barendrecht,47053,23229,23824,,,,,,,,,,
2012,Barneveld,53521,26617,26904,,,,,,,,,,
2012,Bedum,10508,5281,5227,,,,,,,,,,
2012,Beemster,8719,4360,4359,,,,,,,,,,
2012,Beesel,13742,6920,6822,,,,,,,,,,
2012,Berg en Dal,,,,,,,,,,,,,
2012,Bergeijk,18123,9187,8936,,,,,,,,,,
2012,Bergen op Zoom,66130,32662,33468,,,,,,,,,,
2012,Berkelland,44911,22622,22289,,,,,,,,,,
2012,Bernheze,29802,15023,14779,,,,,,,,,,
2012,Best,28696,14357,14339,,,,,,,,,,
