Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2008,Aa en Hunze,25598,12668,12930,,,,,,,,,,
2009,Aa en Hunze,25675,12763,12912,,,,,,,,,,
2010,Aa en Hunze,25563,12685,12878,,,,,,,,,,
2011,Aa en Hunze,25785,12840,12945,,,,,,,,,,
2012,Aa en Hunze,25738,12834,12904,,,,,,,,,,
2013,Aa en Hunze,25541,12686,12855,,,,,,,,,,
2014,Aa en Hunze,25357,12601,12756,,,,,,,,,,
2015,Aa en Hunze,25203,12545,12658,,,,,,,,,,
2016,Aa en Hunze,25243,12577,12666,,,,,,,,,,
2017,Aa en Hunze,25286,12603,12683,,,,,,,,,,
2008,Aalburg,12386,6214,6172,,,,,,,,,,
2009,Aalburg,12556,6311,6245,,,,,,,,,,
2010,Aalburg,12614,6312,6302,,,,,,,,,,
2011,Aalburg,12685,6373,6312,,,,,,,,,,
2012,Aalburg,12749,6441,6308,,,,,,,,,,
2013,Aalburg,12774,6459,6315,,,,,,,,,,
2014,Aalburg,12846,6490,6356,,,,,,,,,,
2015,Aalburg,12922,6540,6382,,,,,,,,,,
2016,Aalburg,13038,6582,6456,,,,,,,,,,
2017,Aalburg,13067,6615,6452,,,,,,,,,,
2008,Aalsmeer,26386,13108,13278,,,,,,,,,,
2009,Aalsmeer,28006,13920,14086,,,,,,,,,,
2010,Aalsmeer,29187,14480,14707,,,,,,,,,,
2011,Aalsmeer,30189,14955,15234,,,,,,,,,,
2012,Aalsmeer,30364,15049,15315,,,,,,,,,,
2013,Aalsmeer,30618,15178,15440,,,,,,,,,,
2014,Aalsmeer,30759,15222,15537,,,,,,,,,,
2015,Aalsmeer,31077,15374,15703,,,,,,,,,,
2016,Aalsmeer,31299,15477,15822,,,,,,,,,,
2017,Aalsmeer,31373,15516,15857,,,,,,,,,,
2008,Aalten,27568,13807,13761,,,,,,,,,,
2009,Aalten,27447,13761,13686,,,,,,,,,,
2010,Aalten,27500,13767,13733,,,,,,,,,,
2011,Aalten,27439,13757,13682,,,,,,,,,,
2012,Aalten,27305,13686,13619,,,,,,,,,,
2013,Aalten,27082,13527,13555,,,,,,,,,,
2014,Aalten,27013,13504,13509,,,,,,,,,,
2015,Aalten,26904,13471,13433,,,,,,,,,,
2016,Aalten,26912,13482,13430,,,,,,,,,,
2017,Aalten,27047,13625,13422,,,,,,,,,,
2008,Ter Aar,,,,,,,,,,,,,
2009,Ter Aar,,,,,,,,,,,,,
2010,Ter Aar,,,,,,,,,,,,,
2011,Ter Aar,,,,,,,,,,,,,
2012,Ter Aar,,,,,,,,,,,,,
2013,Ter Aar,,,,,,,,,,,,,
2014,Ter Aar,,,,,,,,,,,,,
2015,Ter Aar,,,,,,,,,,,,,
2016,Ter Aar,,,,,,,,,,,,,
2017,Ter Aar,,,,,,,,,,,,,
2008,Aarle-Rixtel,,,,,,,,,,,,,
2009,Aarle-Rixtel,,,,,,,,,,,,,
2010,Aarle-Rixtel,,,,,,,,,,,,,
2011,Aarle-Rixtel,,,,,,,,,,,,,
2012,Aarle-Rixtel,,,,,,,,,,,,,
2013,Aarle-Rixtel,,,,,,,,,,,,,
2014,Aarle-Rixtel,,,,,,,,,,,,,
2015,Aarle-Rixtel,,,,,,,,,,,,,
2016,Aarle-Rixtel,,,,,,,,,,,,,
2017,Aarle-Rixtel,,,,,,,,,,,,,
2008,Abcoude,8688,4281,4407,,,,,,,,,,
2009,Abcoude,8680,4264,4416,,,,,,,,,,
2010,Abcoude,8764,4293,4471,,,,,,,,,,
2011,Abcoude,,,,,,,,,,,,,
2012,Abcoude,,,,,,,,,,,,,
2013,Abcoude,,,,,,,,,,,,,
2014,Abcoude,,,,,,,,,,,,,
2015,Abcoude,,,,,,,,,,,,,
2016,Abcoude,,,,,,,,,,,,,
2017,Abcoude,,,,,,,,,,,,,
2008,Achtkarspelen,28088,14235,13853,,,,,,,,,,
2009,Achtkarspelen,28139,14292,13847,,,,,,,,,,
2010,Achtkarspelen,28088,14265,13823,,,,,,,,,,
2011,Achtkarspelen,28123,14270,13853,,,,,,,,,,
2012,Achtkarspelen,28091,14263,13828,,,,,,,,,,
2013,Achtkarspelen,28110,14281,13829,,,,,,,,,,
2014,Achtkarspelen,28016,14255,13761,,,,,,,,,,
2015,Achtkarspelen,27983,14218,13765,,,,,,,,,,
2016,Achtkarspelen,28007,14239,13768,,,,,,,,,,
2017,Achtkarspelen,27893,14185,13708,,,,,,,,,,
2008,Akersloot,,,,,,,,,,,,,
2009,Akersloot,,,,,,,,,,,,,
2010,Akersloot,,,,,,,,,,,,,
2011,Akersloot,,,,,,,,,,,,,
2012,Akersloot,,,,,,,,,,,,,
2013,Akersloot,,,,,,,,,,,,,
2014,Akersloot,,,,,,,,,,,,,
2015,Akersloot,,,,,,,,,,,,,
2016,Akersloot,,,,,,,,,,,,,
2017,Akersloot,,,,,,,,,,,,,
2008,Alblasserdam,18718,9118,9600,,,,,,,,,,
2009,Alblasserdam,18839,9222,9617,,,,,,,,,,
2010,Alblasserdam,19014,9291,9723,,,,,,,,,,
2011,Alblasserdam,19208,9394,9814,,,,,,,,,,
2012,Alblasserdam,19467,9496,9971,,,,,,,,,,
2013,Alblasserdam,19643,9610,10033,,,,,,,,,,
2014,Alblasserdam,19801,9693,10108,,,,,,,,,,
2015,Alblasserdam,19845,9713,10132,,,,,,,,,,
2016,Alblasserdam,19955,9771,10184,,,,,,,,,,
2017,Alblasserdam,20008,9809,10199,,,,,,,,,,
2008,Albrandswaard,22453,11209,11244,,,,,,,,,,
2009,Albrandswaard,22974,11494,11480,,,,,,,,,,
2010,Albrandswaard,24191,12052,12139,,,,,,,,,,
2011,Albrandswaard,24674,12251,12423,,,,,,,,,,
2012,Albrandswaard,25003,12388,12615,,,,,,,,,,
2013,Albrandswaard,25101,12455,12646,,,,,,,,,,
2014,Albrandswaard,25069,12451,12618,,,,,,,,,,
2015,Albrandswaard,25148,12525,12623,,,,,,,,,,
2016,Albrandswaard,24985,12424,12561,,,,,,,,,,
2017,Albrandswaard,25105,12450,12655,,,,,,,,,,
2008,Alkemade,14481,7282,7199,,,,,,,,,,
2009,Alkemade,,,,,,,,,,,,,
2010,Alkemade,,,,,,,,,,,,,
2011,Alkemade,,,,,,,,,,,,,
2012,Alkemade,,,,,,,,,,,,,
2013,Alkemade,,,,,,,,,,,,,
2014,Alkemade,,,,,,,,,,,,,
2015,Alkemade,,,,,,,,,,,,,
2016,Alkemade,,,,,,,,,,,,,
2017,Alkemade,,,,,,,,,,,,,
2008,Alkmaar,93876,46144,47732,,,,,,,,,,
2009,Alkmaar,93416,45928,47488,,,,,,,,,,
2010,Alkmaar,93861,46225,47636,,,,,,,,,,
2011,Alkmaar,93936,46293,47643,,,,,,,,,,
2012,Alkmaar,94269,46423,47846,,,,,,,,,,
2013,Alkmaar,94505,46549,47956,,,,,,,,,,
2014,Alkmaar,94866,46750,48116,,,,,,,,,,
2015,Alkmaar,107106,52973,54133,,,,,,,,,,
2016,Alkmaar,107615,53266,54349,,,,,,,,,,
2017,Alkmaar,108373,53659,54714,,,,,,,,,,
2008,Almelo,72287,35904,36383,,,,,,,,,,
2009,Almelo,72428,35993,36435,,,,,,,,,,
2010,Almelo,72602,36059,36543,,,,,,,,,,
2011,Almelo,72599,35990,36609,,,,,,,,,,
2012,Almelo,72757,36089,36668,,,,,,,,,,
2013,Almelo,72729,36124,36605,,,,,,,,,,
2014,Almelo,72459,36006,36453,,,,,,,,,,
2015,Almelo,72291,35991,36300,,,,,,,,,,
2016,Almelo,72425,36115,36310,,,,,,,,,,
2017,Almelo,72479,36165,36314,,,,,,,,,,
2008,Almere,183270,90847,92423,,,,,,,,,,
2009,Almere,185746,92252,93494,,,,,,,,,,
2010,Almere,188160,93508,94652,,,,,,,,,,
2011,Almere,190655,94639,96016,,,,,,,,,,
2012,Almere,193163,95874,97289,,,,,,,,,,
2013,Almere,195213,96928,98285,,,,,,,,,,
2014,Almere,196013,97238,98775,,,,,,,,,,
2015,Almere,196932,97666,99266,,,,,,,,,,
2016,Almere,198145,98240,99905,,,,,,,,,,
2017,Almere,200914,99673,101241,,,,,,,,,,
2008,Alphen aan den Rijn,71658,35319,36339,,,,,,,,,,
2009,Alphen aan den Rijn,72178,35608,36570,,,,,,,,,,
2010,Alphen aan den Rijn,72534,35767,36767,,,,,,,,,,
2011,Alphen aan den Rijn,72680,35879,36801,,,,,,,,,,
2012,Alphen aan den Rijn,72853,35958,36895,,,,,,,,,,
2013,Alphen aan den Rijn,72913,36017,36896,,,,,,,,,,
2014,Alphen aan den Rijn,106785,52979,53806,,,,,,,,,,
2015,Alphen aan den Rijn,107396,53321,54075,,,,,,,,,,
2016,Alphen aan den Rijn,107960,53624,54336,,,,,,,,,,
2017,Alphen aan den Rijn,108915,54164,54751,,,,,,,,,,
2008,Alphen en Riel,,,,,,,,,,,,,
2009,Alphen en Riel,,,,,,,,,,,,,
2010,Alphen en Riel,,,,,,,,,,,,,
2011,Alphen en Riel,,,,,,,,,,,,,
2012,Alphen en Riel,,,,,,,,,,,,,
2013,Alphen en Riel,,,,,,,,,,,,,
2014,Alphen en Riel,,,,,,,,,,,,,
2015,Alphen en Riel,,,,,,,,,,,,,
2016,Alphen en Riel,,,,,,,,,,,,,
2017,Alphen en Riel,,,,,,,,,,,,,
2008,Alphen-Chaam,9455,4807,4648,,,,,,,,,,
2009,Alphen-Chaam,9421,4783,4638,,,,,,,,,,
2010,Alphen-Chaam,9436,4783,4653,,,,,,,,,,
