Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2015,'s-Hertogenbosch,150889,74424,76465,,,,,,,,,,
2015,Aa en Hunze,25203,12545,12658,,,,,,,,,,
2015,Aalburg,12922,6540,6382,,,,,,,,,,
2015,Aalsmeer,31077,15374,15703,,,,,,,,,,
2015,Aalten,26904,13471,13433,,,,,,,,,,
2015,Achtkarspelen,27983,14218,13765,,,,,,,,,,
2015,Alblasserdam,19845,9713,10132,,,,,,,,,,
2015,Albrandswaard,25148,12525,12623,,,,,,,,,,
2015,Alkmaar,107106,52973,54133,,,,,,,,,,
2015,Almelo,72291,35991,36300,,,,,,,,,,
2015,Almere,196932,97666,99266,,,,,,,,,,
2015,Alphen aan den Rijn,107396,53321,54075,,,,,,,,,,
2015,Alphen-Chaam,9753,4951,4802,,,,,,,,,,
2015,Ameland,3590,1764,1826,,,,,,,,,,
2015,Amersfoort,152481,74967,77514,,,,,,,,,,
2015,Amstelveen,87162,41577,45585,,,,,,,,,,
2015,Amsterdam,821752,404881,416871,,,,,,,,,,
2015,Apeldoorn,158099,78163,79936,,,,,,,,,,
2015,Appingedam,12011,5807,6204,,,,,,,,,,
2015,Arnhem,152293,75872,76421,,,,,,,,,,
2015,Assen,67165,33015,34150,,,,,,,,,,
2015,Asten,16559,8506,8053,,,,,,,,,,
2015,Baarle-Nassau,6599,3353,3246,,,,,,,,,,
2015,Baarn,24406,11761,12645,,,,,,,,,,
2015,Barendrecht,47521,23420,24101,,,,,,,,,,
2015,Barneveld,54703,27170,27533,,,,,,,,,,
2015,Bedum,10441,5223,5218,,,,,,,,,,
2015,Beemster,8903,4449,4454,,,,,,,,,,
2015,Beesel,13511,6809,6702,,,,,,,,,,
2015,Berg en Dal,,,,,,,,,,,,,
2015,Bergeijk,18209,9245,8964,,,,,,,,,,
2015,Bergen op Zoom,66320,32801,33519,,,,,,,,,,
2015,Berkelland,44364,22302,22062,,,,,,,,,,
2015,Bernheze,29729,15011,14718,,,,,,,,,,
2015,Best,28737,14416,14321,,,,,,,,,,
2015,Beuningen,25282,12651,12631,,,,,,,,,,
2015,Beverwijk,40182,19920,20262,,,,,,,,,,
2015,Binnenmaas,28656,14180,14476,,,,,,,,,,
2015,Bladel,19869,10083,9786,,,,,,,,,,
2015,Blaricum,9312,4489,4823,,,,,,,,,,
2015,Bloemendaal,22256,10598,11658,,,,,,,,,,
2015,Bodegraven-Reeuwijk,33208,16564,16644,,,,,,,,,,
2015,Boekel,10119,5179,4940,,,,,,,,,,
2015,Borger-Odoorn,25502,12736,12766,,,,,,,,,,
2015,Borne,21992,10948,11044,,,,,,,,,,
2015,Borsele,22568,11417,11151,,,,,,,,,,
2015,Boxmeer,28342,14233,14109,,,,,,,,,,
2015,Boxtel,30337,15060,15277,,,,,,,,,,
2015,Breda,180937,88620,92317,,,,,,,,,,
2015,Brielle,16467,8060,8407,,,,,,,,,,
2015,Bronckhorst,36726,18273,18453,,,,,,,,,,
2015,Brummen,20983,10374,10609,,,,,,,,,,
2015,Brunssum,28656,13988,14668,,,,,,,,,,
2015,Bunnik,14662,7244,7418,,,,,,,,,,
2015,Bunschoten,20647,10321,10326,,,,,,,,,,
2015,Buren,26117,13061,13056,,,,,,,,,,
2015,Capelle aan den IJssel,66478,32130,34348,,,,,,,,,,
2015,Castricum,34361,16841,17520,,,,,,,,,,
2015,Coevorden,35535,17689,17846,,,,,,,,,,
2015,Cranendonck,20542,10337,10205,,,,,,,,,,
2015,Cromstrijen,12784,6374,6410,,,,,,,,,,
2015,Cuijk,24649,12318,12331,,,,,,,,,,
2015,Culemborg,27560,13662,13898,,,,,,,,,,
