gemeente,jaar_vkl,incident_count,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Aantal incidenten per 1000 inwoners
Aa en Hunze,2008,224,25598,8.750683647159933
Aa en Hunze,2009,159,25675,6.192794547224927
Aa en Hunze,2010,144,25563,5.633141650041075
Aa en Hunze,2011,119,25785,4.615086290478961
Aa en Hunze,2012,147,25738,5.711399487139637
Aa en Hunze,2013,154,25541,6.029521162053169
Aa en Hunze,2014,173,25357,6.822573648302244
Aa en Hunze,2015,155,25203,6.150061500615006
Aa en Hunze,2016,183,25243,7.249534524422613
Aa en Hunze,2017,144,25286,5.694850905639484
Aalburg,2008,56,12386,4.521233650896173
Aalburg,2009,22,12556,1.752150366358713
Aalburg,2010,41,12614,3.250356746472174
Aalburg,2011,34,12685,2.6803310997240835
Aalburg,2012,31,12749,2.4315632598635184
Aalburg,2013,30,12774,2.3485204321277595
Aalburg,2014,40,12846,3.1138097462245056
Aalburg,2015,55,12922,4.256307073208482
Aalburg,2016,36,13038,2.761159687068569
Aalburg,2017,35,13067,2.678503099410729
Aalsmeer,2008,136,26386,5.154248465095126
Aalsmeer,2009,81,28006,2.8922373777047774
Aalsmeer,2010,146,29187,5.002227018878267
Aalsmeer,2011,119,30189,3.9418331180231214
Aalsmeer,2012,106,30364,3.49097615597418
Aalsmeer,2013,113,30618,3.690639493108629
Aalsmeer,2014,88,30759,2.8609512662960435
Aalsmeer,2015,160,31077,5.14850210766805
Aalsmeer,2016,162,31299,5.175884213553148
Aalsmeer,2017,147,31373,4.685557645108852
Aalten,2008,151,27568,5.477365060940221
Aalten,2009,110,27447,4.007723977119539
Aalten,2010,214,27500,7.781818181818181
Aalten,2011,172,27439,6.268450016400014
Aalten,2012,152,27305,5.566746017212965
Aalten,2013,158,27082,5.834133372719888
Aalten,2014,119,27013,4.405286343612335
Aalten,2015,149,26904,5.538209931608683
Aalten,2016,180,26912,6.6884661117717
Aalten,2017,132,27047,4.8803933892853175
Achtkarspelen,2008,156,28088,5.553973227000854
Achtkarspelen,2009,126,28139,4.477771065069832
Achtkarspelen,2010,119,28088,4.23668470521219
Achtkarspelen,2011,110,28123,3.911389254346976
Achtkarspelen,2012,115,28091,4.093837884019792
Achtkarspelen,2013,106,28110,3.770900035574529
Achtkarspelen,2014,125,28016,4.461736150770988
Achtkarspelen,2015,112,27983,4.002430046814137
Achtkarspelen,2016,123,28007,4.391759203056378
Achtkarspelen,2017,106,27893,3.800236618506435
Alblasserdam,2008,148,18718,7.906827652526979
Alblasserdam,2009,138,18839,7.325229576941451
Alblasserdam,2010,172,19014,9.045966130219837
Alblasserdam,2011,153,19208,7.965431070387338
Alblasserdam,2012,137,19467,7.037550726871116
Alblasserdam,2013,108,19643,5.4981418316957695
Alblasserdam,2014,141,19801,7.1208524821978685
Alblasserdam,2015,151,19845,7.608969513731418
Alblasserdam,2016,148,19955,7.4166875469807065
Alblasserdam,2017,134,20008,6.697321071571372
Albrandswaard,2008,29,22453,1.2915868703514006
Albrandswaard,2009,17,22974,0.7399669191259685
Albrandswaard,2010,49,24191,2.02554669091811
Albrandswaard,2011,60,24674,2.431709491772716
Albrandswaard,2012,45,25003,1.79978402591689
Albrandswaard,2013,48,25101,1.9122744113780328
Albrandswaard,2014,61,25069,2.433284135785233
Albrandswaard,2015,68,25148,2.7039923651980278
Albrandswaard,2016,94,24985,3.7622573544126476
Albrandswaard,2017,73,25105,2.907787293367855
Alkmaar,2008,616,93876,6.561847543568112
Alkmaar,2009,255,93416,2.729725100625161
Alkmaar,2010,827,93861,8.810901226281416
Alkmaar,2011,704,93936,7.494464316130131
Alkmaar,2012,740,94269,7.849876417486129
Alkmaar,2013,704,94505,7.449341304692873
Alkmaar,2014,593,94866,6.250922353635654
Alkmaar,2015,829,107106,7.739995891920153
Alkmaar,2016,903,107615,8.391023556195698
Alkmaar,2017,921,108373,8.498426729905049
Almelo,2008,767,72287,10.61048321274918
Almelo,2009,578,72428,7.980339095377478
Almelo,2010,543,72602,7.4791328062587805
Almelo,2011,478,72599,6.584112728825466
Almelo,2012,500,72757,6.872190991932048
Almelo,2013,609,72729,8.373551128160706
Almelo,2014,608,72459,8.390952124649802
Almelo,2015,669,72291,9.254264016267584
Almelo,2016,647,72425,8.933379357956506
Almelo,2017,642,72479,8.857738103450655
Almere,2008,473,183270,2.580891580727888
Almere,2009,386,185746,2.078106661785449
Almere,2010,739,188160,3.92750850340136
Almere,2011,732,190655,3.839395767223519
Almere,2012,834,193163,4.317597055336685
Almere,2013,783,195213,4.011003365554548
Almere,2014,731,196013,3.7293444822537283
Almere,2015,931,196932,4.7275201592427845
Almere,2016,1223,198145,6.17224759645714
Almere,2017,1250,200914,6.2215674368137615
Alphen aan den Rijn,2008,659,71658,9.196460967372799
Alphen aan den Rijn,2009,433,72178,5.999057884674
Alphen aan den Rijn,2010,616,72534,8.492569002123142
Alphen aan den Rijn,2011,556,72680,7.649972482113374
Alphen aan den Rijn,2012,585,72853,8.029868365063896
Alphen aan den Rijn,2013,559,72913,7.666671238325127
Alphen aan den Rijn,2014,375,106785,3.5117291754459896
Alphen aan den Rijn,2015,452,107396,4.208722857462103
Alphen aan den Rijn,2016,498,107960,4.612819562801037
Alphen aan den Rijn,2017,541,108915,4.967176238351008
Alphen-Chaam,2008,55,9455,5.817028027498678
Alphen-Chaam,2009,42,9421,4.458125464388069
Alphen-Chaam,2010,62,9436,6.570580754557016
Alphen-Chaam,2011,42,9466,4.436932178322417
Alphen-Chaam,2012,51,9525,5.354330708661417
Alphen-Chaam,2013,55,9640,5.705394190871369
Alphen-Chaam,2014,71,9717,7.30678192857878
Alphen-Chaam,2015,62,9753,6.357018353327182
Alphen-Chaam,2016,78,9924,7.8597339782345825
Alphen-Chaam,2017,59,10058,5.865977331477431
Ameland,2008,22,3456,6.3657407407407405
Ameland,2009,19,3466,5.481823427582228
Ameland,2010,28,3501,7.997714938588975
Ameland,2011,18,3503,5.138452754781616
Ameland,2012,15,3526,4.254112308564946
Ameland,2013,19,3525,5.390070921985815
Ameland,2014,11,3578,3.0743432084963667
Ameland,2015,19,3590,5.2924791086350975
Ameland,2016,19,3611,5.261700360011077
Ameland,2017,13,3633,3.5783099366914395
Amersfoort,2008,639,141211,4.525143225386125
Amersfoort,2009,543,143212,3.791581711029802
Amersfoort,2010,1198,144862,8.26993966671729
Amersfoort,2011,1014,146592,6.917157825802226
Amersfoort,2012,1212,148250,8.175379426644183
Amersfoort,2013,1067,149662,7.129398244043244
Amersfoort,2014,806,150897,5.341391810307694
Amersfoort,2015,1013,152481,6.64345065942642
Amersfoort,2016,1151,153602,7.493392013124829
Amersfoort,2017,1283,154337,8.31297744546026
Amstelveen,2008,381,78980,4.824006077487971
Amstelveen,2009,262,79768,3.2845251228562833
Amstelveen,2010,315,80695,3.903587582873784
Amstelveen,2011,254,81796,3.1052863220695386
Amstelveen,2012,262,83363,3.142881134316183
Amstelveen,2013,297,84379,3.519833133836618
Amstelveen,2014,284,85015,3.340586955243192
Amstelveen,2015,410,87162,4.703884720405681
Amstelveen,2016,381,88602,4.30012866526715
Amstelveen,2017,388,89294,4.345196765740139
Amsterdam,2008,4901,747093,6.560093589419256
